"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"ex2024bft.BFTBenchmark.baselineGOC","avgt",1,15,0.076331,0.000423,"us/op",1
"ex2024bft.BFTBenchmark.baselineGOC","avgt",1,15,0.104572,0.000477,"us/op",2
"ex2024bft.BFTBenchmark.baselineGOC","avgt",1,15,0.198615,0.001587,"us/op",5
"ex2024bft.BFTBenchmark.baselineGOC","avgt",1,15,0.340864,0.000271,"us/op",10
"ex2024bft.BFTBenchmark.baselineGOC","avgt",1,15,0.805962,0.001730,"us/op",25
"ex2024bft.BFTBenchmark.baselineGOC","avgt",1,15,1.579010,0.001666,"us/op",50
"ex2024bft.BFTBenchmark.baselineGOC","avgt",1,15,5.977759,0.005011,"us/op",100
"ex2024bft.BFTBenchmark.baselineGOC","avgt",1,15,16.045089,0.012592,"us/op",250
"ex2024bft.BFTBenchmark.baselineGOC","avgt",1,15,18.498471,0.018671,"us/op",500
"ex2024bft.BFTBenchmark.baselineGOC","avgt",1,15,36.996452,0.033045,"us/op",1000
"ex2024bft.BFTBenchmark.baselineGOC","avgt",1,15,151.393855,0.096558,"us/op",2500
"ex2024bft.BFTBenchmark.baselineGOC","avgt",1,15,306.071862,0.459763,"us/op",5000
"ex2024bft.BFTBenchmark.baselineGOC","avgt",1,15,372.602703,0.588227,"us/op",10000
"ex2024bft.BFTBenchmark.baselineRepList","avgt",1,15,1.197579,0.004248,"us/op",1
"ex2024bft.BFTBenchmark.baselineRepList","avgt",1,15,3.404291,0.023619,"us/op",2
"ex2024bft.BFTBenchmark.baselineRepList","avgt",1,15,10.116760,0.045607,"us/op",5
"ex2024bft.BFTBenchmark.baselineRepList","avgt",1,15,30.244605,0.053281,"us/op",10
"ex2024bft.BFTBenchmark.baselineRepList","avgt",1,15,80.889632,0.335264,"us/op",25
"ex2024bft.BFTBenchmark.baselineRepList","avgt",1,15,337.251365,4.715903,"us/op",50
"ex2024bft.BFTBenchmark.baselineRepList","avgt",1,15,1370.737435,3.607678,"us/op",100
"ex2024bft.BFTBenchmark.baselineRepList","avgt",1,15,9719.715319,23.787714,"us/op",250
"ex2024bft.BFTBenchmark.baselineRepList","avgt",1,15,49689.594930,114.624707,"us/op",500
"ex2024bft.BFTBenchmark.baselineRepList","avgt",1,15,307937.878711,520.730615,"us/op",1000
"ex2024bft.BFTBenchmark.baselineRepList","avgt",1,15,4151212.180800,7047.285218,"us/op",2500
"ex2024bft.BFTBenchmark.baselineRepList","avgt",1,15,31179394.904267,48321.158350,"us/op",5000
"ex2024bft.BFTBenchmark.baselineRepList","avgt",1,15,235360026.158600,185289.060092,"us/op",10000
"ex2024bft.BFTBenchmark.bftGOC","avgt",1,15,2.000706,0.002062,"us/op",1
"ex2024bft.BFTBenchmark.bftGOC","avgt",1,15,3.192950,0.013535,"us/op",2
"ex2024bft.BFTBenchmark.bftGOC","avgt",1,15,9.436568,0.020404,"us/op",5
"ex2024bft.BFTBenchmark.bftGOC","avgt",1,15,24.611439,0.045132,"us/op",10
"ex2024bft.BFTBenchmark.bftGOC","avgt",1,15,107.788510,0.199183,"us/op",25
"ex2024bft.BFTBenchmark.bftGOC","avgt",1,15,373.975581,0.714864,"us/op",50
"ex2024bft.BFTBenchmark.bftGOC","avgt",1,15,1256.064607,3.585841,"us/op",100
"ex2024bft.BFTBenchmark.bftGOC","avgt",1,15,8174.031799,20.227672,"us/op",250
"ex2024bft.BFTBenchmark.bftGOC","avgt",1,15,29612.349064,64.617528,"us/op",500
"ex2024bft.BFTBenchmark.bftGOC","avgt",1,15,124806.843411,272.043395,"us/op",1000
"ex2024bft.BFTBenchmark.bftGOC","avgt",1,15,798206.539467,870.404683,"us/op",2500
"ex2024bft.BFTBenchmark.bftGOC","avgt",1,15,3655955.949022,7833.001875,"us/op",5000
"ex2024bft.BFTBenchmark.bftGOC","avgt",1,15,12621764.141067,28565.880613,"us/op",10000
"ex2024bft.BFTBenchmark.bftRepList","avgt",1,15,12.228564,0.029627,"us/op",1
"ex2024bft.BFTBenchmark.bftRepList","avgt",1,15,24.259600,0.047537,"us/op",2
"ex2024bft.BFTBenchmark.bftRepList","avgt",1,15,77.467734,0.165870,"us/op",5
"ex2024bft.BFTBenchmark.bftRepList","avgt",1,15,247.271545,12.802980,"us/op",10
"ex2024bft.BFTBenchmark.bftRepList","avgt",1,15,1358.954113,13.359978,"us/op",25
"ex2024bft.BFTBenchmark.bftRepList","avgt",1,15,4594.264491,45.180235,"us/op",50
"ex2024bft.BFTBenchmark.bftRepList","avgt",1,15,18741.830069,863.149898,"us/op",100
"ex2024bft.BFTBenchmark.bftRepList","avgt",1,15,93884.612537,185.982741,"us/op",250
"ex2024bft.BFTBenchmark.bftRepList","avgt",1,15,291018.678505,2543.388742,"us/op",500
"ex2024bft.BFTBenchmark.bftRepList","avgt",1,15,1130862.714430,4324.666422,"us/op",1000
"ex2024bft.BFTBenchmark.bftRepList","avgt",1,15,7098613.322733,9380.791053,"us/op",2500
"ex2024bft.BFTBenchmark.bftRepList","avgt",1,15,28695408.410867,283991.867860,"us/op",5000
"ex2024bft.BFTBenchmark.bftRepList","avgt",1,15,147797467.076400,701641.877040,"us/op",10000
