"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"ex2024bft.BFTBenchmark.baselineGOC","avgt",1,2,0.076661,NaN,"us/op",1
"ex2024bft.BFTBenchmark.baselineGOC","avgt",1,2,0.105873,NaN,"us/op",2
"ex2024bft.BFTBenchmark.baselineGOC","avgt",1,2,0.198023,NaN,"us/op",5
"ex2024bft.BFTBenchmark.baselineGOC","avgt",1,2,0.350293,NaN,"us/op",10
"ex2024bft.BFTBenchmark.baselineGOC","avgt",1,2,0.828830,NaN,"us/op",25
"ex2024bft.BFTBenchmark.baselineGOC","avgt",1,2,3.010625,NaN,"us/op",50
"ex2024bft.BFTBenchmark.baselineGOC","avgt",1,2,6.010890,NaN,"us/op",100
"ex2024bft.BFTBenchmark.baselineGOC","avgt",1,2,9.726311,NaN,"us/op",250
"ex2024bft.BFTBenchmark.baselineGOC","avgt",1,2,19.290849,NaN,"us/op",500
"ex2024bft.BFTBenchmark.baselineGOC","avgt",1,2,33.964770,NaN,"us/op",1000
"ex2024bft.BFTBenchmark.baselineGOC","avgt",1,2,153.562280,NaN,"us/op",2500
"ex2024bft.BFTBenchmark.baselineGOC","avgt",1,2,167.342858,NaN,"us/op",5000
"ex2024bft.BFTBenchmark.baselineGOC","avgt",1,2,397.785292,NaN,"us/op",10000
"ex2024bft.BFTBenchmark.baselineRepList","avgt",1,2,1.267979,NaN,"us/op",1
"ex2024bft.BFTBenchmark.baselineRepList","avgt",1,2,3.403143,NaN,"us/op",2
"ex2024bft.BFTBenchmark.baselineRepList","avgt",1,2,9.828769,NaN,"us/op",5
"ex2024bft.BFTBenchmark.baselineRepList","avgt",1,2,24.795821,NaN,"us/op",10
"ex2024bft.BFTBenchmark.baselineRepList","avgt",1,2,80.823630,NaN,"us/op",25
"ex2024bft.BFTBenchmark.baselineRepList","avgt",1,2,301.106705,NaN,"us/op",50
"ex2024bft.BFTBenchmark.baselineRepList","avgt",1,2,1371.596551,NaN,"us/op",100
"ex2024bft.BFTBenchmark.baselineRepList","avgt",1,2,9270.718958,NaN,"us/op",250
"ex2024bft.BFTBenchmark.baselineRepList","avgt",1,2,53673.878730,NaN,"us/op",500
"ex2024bft.BFTBenchmark.baselineRepList","avgt",1,2,321371.246203,NaN,"us/op",1000
"ex2024bft.BFTBenchmark.baselineRepList","avgt",1,2,4236514.312500,NaN,"us/op",2500
"ex2024bft.BFTBenchmark.baselineRepList","avgt",1,2,33095467.548000,NaN,"us/op",5000
"ex2024bft.BFTBenchmark.baselineRepList","avgt",1,2,257154027.048000,NaN,"us/op",10000
"ex2024bft.BFTBenchmark.bftGOC","avgt",1,2,2.034899,NaN,"us/op",1
"ex2024bft.BFTBenchmark.bftGOC","avgt",1,2,3.368983,NaN,"us/op",2
"ex2024bft.BFTBenchmark.bftGOC","avgt",1,2,9.489861,NaN,"us/op",5
"ex2024bft.BFTBenchmark.bftGOC","avgt",1,2,25.413613,NaN,"us/op",10
"ex2024bft.BFTBenchmark.bftGOC","avgt",1,2,113.585187,NaN,"us/op",25
"ex2024bft.BFTBenchmark.bftGOC","avgt",1,2,391.908820,NaN,"us/op",50
"ex2024bft.BFTBenchmark.bftGOC","avgt",1,2,1464.815829,NaN,"us/op",100
"ex2024bft.BFTBenchmark.bftGOC","avgt",1,2,8471.081941,NaN,"us/op",250
"ex2024bft.BFTBenchmark.bftGOC","avgt",1,2,32913.037799,NaN,"us/op",500
"ex2024bft.BFTBenchmark.bftGOC","avgt",1,2,129306.760619,NaN,"us/op",1000
"ex2024bft.BFTBenchmark.bftGOC","avgt",1,2,864062.121125,NaN,"us/op",2500
"ex2024bft.BFTBenchmark.bftGOC","avgt",1,2,3175559.665375,NaN,"us/op",5000
"ex2024bft.BFTBenchmark.bftGOC","avgt",1,2,13456096.950500,NaN,"us/op",10000
"ex2024bft.BFTBenchmark.bftRepList","avgt",1,2,16.429838,NaN,"us/op",1
"ex2024bft.BFTBenchmark.bftRepList","avgt",1,2,30.458764,NaN,"us/op",2
"ex2024bft.BFTBenchmark.bftRepList","avgt",1,2,93.105973,NaN,"us/op",5
"ex2024bft.BFTBenchmark.bftRepList","avgt",1,2,249.631120,NaN,"us/op",10
"ex2024bft.BFTBenchmark.bftRepList","avgt",1,2,1218.765711,NaN,"us/op",25
"ex2024bft.BFTBenchmark.bftRepList","avgt",1,2,4545.589037,NaN,"us/op",50
"ex2024bft.BFTBenchmark.bftRepList","avgt",1,2,16792.179411,NaN,"us/op",100
"ex2024bft.BFTBenchmark.bftRepList","avgt",1,2,85256.070067,NaN,"us/op",250
"ex2024bft.BFTBenchmark.bftRepList","avgt",1,2,316402.751922,NaN,"us/op",500
"ex2024bft.BFTBenchmark.bftRepList","avgt",1,2,1327151.231063,NaN,"us/op",1000
"ex2024bft.BFTBenchmark.bftRepList","avgt",1,2,8286919.775500,NaN,"us/op",2500
"ex2024bft.BFTBenchmark.bftRepList","avgt",1,2,31801608.011500,NaN,"us/op",5000
"ex2024bft.BFTBenchmark.bftRepList","avgt",1,2,130832245.681000,NaN,"us/op",10000
